file name	col name	fill rate	unique val	values	counts
application_test.csv	AMT_REQ_CREDIT_BUREAU_DAY	87.59	4	[0.0, 1.0, 2.0]	[42625, 63, 7]
application_test.csv	AMT_REQ_CREDIT_BUREAU_HOUR	87.59	4	[0.0, 1.0, 2.0]	[42606, 88, 1]
application_test.csv	AMT_REQ_CREDIT_BUREAU_WEEK	87.59	4	[0.0, 1.0, 2.0]	[42579, 113, 3]
application_train.csv	CODE_GENDER	100.0	3	['F', 'M', 'XNA']	[202448, 105059, 4]
application_test.csv	CODE_GENDER	100.0	2	['F', 'M']	[32678, 16066]
bureau.csv	CREDIT_ACTIVE	100.0	4	['Closed', 'Active', 'Sold', 'Bad debt']	[1079273, 630607, 6527, 21]
bureau.csv	CREDIT_CURRENCY	100.0	4	['currency 1', 'currency 2', 'currency 3', 'currency 4']	[1715020, 1224, 174, 10]
application_test.csv	EMERGENCYSTATE_MODE	54.43	3	['No', 'Yes']	[26179, 356]
application_train.csv	EMERGENCYSTATE_MODE	52.6	3	['No', 'Yes']	[159428, 2328]
application_train.csv	FLAG_CONT_MOBILE	100.0	2	[1, 0]	[306937, 574]
application_test.csv	FLAG_CONT_MOBILE	100.0	2	[1, 0]	[48666, 78]
application_train.csv	FLAG_DOCUMENT_10	100.0	2	[0, 1]	[307504, 7]
application_test.csv	FLAG_DOCUMENT_10	100.0	1	[0]	[48744]
application_test.csv	FLAG_DOCUMENT_11	100.0	2	[0, 1]	[48687, 57]
application_train.csv	FLAG_DOCUMENT_11	100.0	2	[0, 1]	[306308, 1203]
application_test.csv	FLAG_DOCUMENT_12	100.0	1	[0]	[48744]
application_train.csv	FLAG_DOCUMENT_12	100.0	2	[0, 1]	[307509, 2]
application_test.csv	FLAG_DOCUMENT_13	100.0	1	[0]	[48744]
application_train.csv	FLAG_DOCUMENT_13	100.0	2	[0, 1]	[306427, 1084]
application_test.csv	FLAG_DOCUMENT_14	100.0	1	[0]	[48744]
application_train.csv	FLAG_DOCUMENT_14	100.0	2	[0, 1]	[306608, 903]
application_train.csv	FLAG_DOCUMENT_15	100.0	2	[0, 1]	[307139, 372]
application_test.csv	FLAG_DOCUMENT_15	100.0	1	[0]	[48744]
application_train.csv	FLAG_DOCUMENT_16	100.0	2	[0, 1]	[304458, 3053]
application_test.csv	FLAG_DOCUMENT_16	100.0	1	[0]	[48744]
application_train.csv	FLAG_DOCUMENT_17	100.0	2	[0, 1]	[307429, 82]
application_test.csv	FLAG_DOCUMENT_17	100.0	1	[0]	[48744]
application_train.csv	FLAG_DOCUMENT_18	100.0	2	[0, 1]	[305011, 2500]
application_test.csv	FLAG_DOCUMENT_18	100.0	2	[0, 1]	[48668, 76]
application_train.csv	FLAG_DOCUMENT_19	100.0	2	[0, 1]	[307328, 183]
application_test.csv	FLAG_DOCUMENT_19	100.0	1	[0]	[48744]
application_test.csv	FLAG_DOCUMENT_2	100.0	1	[0]	[48744]
application_train.csv	FLAG_DOCUMENT_2	100.0	2	[0, 1]	[307498, 13]
application_test.csv	FLAG_DOCUMENT_20	100.0	1	[0]	[48744]
application_train.csv	FLAG_DOCUMENT_20	100.0	2	[0, 1]	[307355, 156]
application_test.csv	FLAG_DOCUMENT_21	100.0	1	[0]	[48744]
application_train.csv	FLAG_DOCUMENT_21	100.0	2	[0, 1]	[307408, 103]
application_test.csv	FLAG_DOCUMENT_3	100.0	2	[1, 0]	[38343, 10401]
