col name	mean importance	std importance	description	min positive	max positive	mean positive	min negative	max negative	mean negative
EXT_SOURCE_3	0.10620979798507038	0.009782885157910013	(Application) Normalized score from external data source	0.0	0.89	0.42	0.0	0.86	0.29
EXT_SOURCE_2	0.07251134458399579	0.009679604869492063	(Application) Normalized score from external data source	0.0	0.85	0.52	0.0	0.8	0.42
EXT_SOURCE_1	0.019721285481798533	0.004610297577779624	(Application) Normalized score from external data source	0.0	0.93	0.22	0.0	0.93	0.16
DAYS_BIRTH	0.018787594888009213	0.005710487521973686	(Application) Client's age in days at the time of application	-69.0	-22.0	-44.63	-69.0	-22.0	-40.68
AMT_ANNUITY	0.01860384666642609	0.004491835016900925	(Application) Loan annuity	2596.5	225000.0	27133.93	2844.0	105511.5	26742.22
CODE_GENDER	0.016627325585287026	0.003869486364284646	(Application) Gender of the client	0.0	1.0	0.66	0.0	1.0	0.57
AMT_GOODS_PRICE	0.013686632025108978	0.002915970528754444	(Application) For consumer loans it is the price of the goods for which the loan is given	0.0	4050000.0	544903.73	0.0	2961000.0	488310.2
BURO_DAYS_CREDIT_MAX	0.011534614167914266	0.003168121807740002	(Bureau) MAX, How many days before current application did client apply for Credit Bureau credit	-2922.0	0.0	-433.87	-2922.0	0.0	-308.86
BURO_DAYS_CREDIT_UPDATE_MEAN	0.008336674728220632	0.005432367820735465	(Bureau) MEAN, How many days before current application did client apply for Credit Bureau credit	-2855.0	0.0	-479.29	-2560.0	0.0	-337.34
DAYS_ID_PUBLISH	0.008327563042827474	0.0034960021397872224	(Application) How many days before the application did client change the identity document with which he applied for the loan	-6228.0	0.0	-3000.77	-5888.0	-10.0	-2684.38
BURO_DAYS_CREDIT_MEAN	0.007906907503721063	0.0049282878643589914	(Bureau) MEAN, How many days before current application did client apply for Credit Bureau credit	-2922.0	0.0	-949.49	-2922.0	0.0	-716.1
DAYS_LAST_PHONE_CHANGE	0.007788735522210858	0.0028909962212887567	(Application) How many days before application did client change phone	-3983.0	0.0	-967.45	-3235.0	0.0	-779.07
PREV_NAME_YIELD_GROUP_high_MEAN	0.007371833638168627	0.0025523355043062506	(Previous Application) MEAN, Grouped interest rate into small medium and high of the previous application	0.0	1.0	0.22	0.0	1.0	0.27
INSTAL_DPD_MEAN	0.007367509853819516	0.003748271902507685	(Installments Payments) 	0.0	284.71	0.94	0.0	189.55	1.09
INSTAL_DAYS_ENTRY_PAYMENT_MAX	0.007178958816272618	0.0026340571161988487	(Installments Payments) MAX, When was the installments of previous credit paid actually (relative to application date of current loan)	-2920.0	0.0	-308.18	-2931.0	0.0	-344.77
AMT_CREDIT	0.0070465737454694964	0.003310668483205213	(Application) Credit amount of the loan	45000.0	4050000.0	605291.54	50940.0	2961000.0	555208.31
APPROVED_DAYS_DECISION_MIN	0.00639138310175962	0.0032674132383851296	(Previous Application) MIN, Relative to current application when was the decision about previous application made	-2922.0	0.0	-1445.87	-2902.0	0.0	-1293.12
INSTAL_AMT_PAYMENT_SUM	0.006345094640209147	0.0029436387631763565	(Installments Payments) SUM, What the client actually paid on previous credit on this installment	0.0	14752543.86	649788.43	0.0	11054330.73	570221.64
INSTAL_DAYS_ENTRY_PAYMENT_MEAN	0.0062726072989017076	0.0027947395134536933	(Installments Payments) MEAN, When was the installments of previous credit paid actually (relative to application date of current loan)	-2920.0	0.0	-875.53	-2931.0	0.0	-820.0
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN	0.006257982307729701	0.002510184109752997	(Bureau) MEAN, Credit amount of the loan	0.0	2307564.0	2335.0	0.0	1309014.0	4840.89
PREV_NAME_CONTRACT_STATUS_Refused_MEAN	0.005963194513852012	0.0022969468475481426	(Previous Application) MEAN, Contract status during the month	0.0	1.0	0.1	0.0	1.0	0.15
DAYS_EMPLOYED	0.005790229895437555	0.0028947767598546453	(Application) How many days before the application the person started current employment	-15632.0	0.0	-1990.42	-14183.0	0.0	-1605.48
PREV_NAME_CLIENT_TYPE_New_MEAN	0.0052826827096325935	0.0015536191097120006	(Previous Application) MEAN, Was the client old or new client when applying for the previous application	0.0	1.0	0.33	0.0	1.0	0.37
PREV_DAYS_DECISION_MAX	0.004605732272859403	0.0020280806691578422	(Previous Application) MAX, Relative to current application when was the decision about previous application made	-2922.0	0.0	-455.51	-2822.0	0.0	-419.22
NAME_EDUCATION_TYPE_Higher education	0.0045547147984831265	0.003636080335875061	(Application) Level of highest education the client achieved	0.0	1.0	0.25	0.0	1.0	0.15
BURO_CREDIT_TYPE_Consumer credit_MEAN	0.004532757010281635	0.002105517019475946	(Bureau) MEAN, Type of Credit Bureau credit (Car, cash,...)	0.0	1.0	0.62	0.0	1.0	0.57
PREV_AMT_GOODS_PRICE_MIN	0.004230990253381443	0.002340287381282666	(Previous Application) MIN, For consumer loans it is the price of the goods for which the loan is given	0.0	3150000.0	75928.9	0.0	1354500.0	68940.77
BURO_AMT_CREDIT_SUM_DEBT_MAX	0.004215103540141983	0.003402717859785578	(Bureau) MAX, Credit amount of the loan	-683.68	26098366.5	436307.68	0.0	11358292.5	415954.26
PREV_NAME_PRODUCT_TYPE_walk-in_MEAN	0.004037735371066315	0.002936809721508964	(Previous Application) MEAN, Was the previous application x-sell o walk-in	0.0	1.0	0.07	0.0	1.0	0.12
PREV_CNT_PAYMENT_MEAN	0.003956481248829781	0.002407445233772035	(Previous Application) MEAN, Term of previous credit at application of the previous application	0.0	72.0	13.77	0.0	60.0	14.7
INSTAL_AMT_INSTALMENT_SUM	0.0038794423925824174	0.0020965952957631095	(Installments Payments) SUM, What was the prescribed installment amount of previous credit on this installment	0.0	14752543.86	641171.38	0.0	9716714.73	577413.41
CC_AMT_BALANCE_MAX	0.003867301984585372	0.0033178027364560918	(Credit Card Balance) MAX, Balance during the month of previous credit	0.0	951093.63	37788.54	0.0	928512.14	59431.45
APPROVED_AMT_DOWN_PAYMENT_MAX	0.0038649540210740816	0.003378789440360134	(Previous Application) MAX, Down payment on the previous application	0.0	1350000.0	9809.75	0.0	630000.0	7426.37
APPROVED_AMT_CREDIT_MAX	0.0038405715794763975	0.0029245327700990168	(Previous Application) MAX, Credit amount of the loan	0.0	3524220.0	328111.99	0.0	2517300.0	287363.45
APPROVED_AMT_ANNUITY_MAX	0.0038339146603095964	0.0022326338771914743	(Previous Application) MAX, Loan annuity	0.0	215427.06	20615.24	0.0	192620.34	17836.01
NAME_FAMILY_STATUS_Married	0.003832466570179295	0.0014117656363840814	(Application) Family status of the client	0.0	1.0	0.65	0.0	1.0	0.6
POS_MONTHS_BALANCE_MAX	0.0037804363281706823	0.0021657264221084027	(POS CASH Balance) MAX, Month of balance relative to application date (-1 means the freshest balance date)	-96.0	0.0	-11.74	-96.0	0.0	-12.73
PREV_HOUR_APPR_PROCESS_START_MAX	0.003680912266536004	0.002103744007788724	(Previous Application) MAX, Approximately at what hour did the client apply for the loan	0.0	23.0	14.04	0.0	21.0	13.78
REGION_POPULATION_RELATIVE	0.003671900472038045	0.0026727676465865147	(Application) Normalized population of region where client lives (higher number means the client lives in more populated region)	0.0	0.07	0.02	0.0	0.07	0.02
BURO_CREDIT_ACTIVE_Active_MEAN	0.0036317354356099714	0.002322734556617891	(Bureau) MEAN, Status of the Credit Bureau (CB) reported credits	0.0	1.0	0.35	0.0	1.0	0.41
CLOSED_AMT_CREDIT_SUM_SUM	0.003618723602383944	0.002470479105667182	(Application) 	0.0	109067688.0	704416.95	0.0	15508148.4	533350.59
CLOSED_DAYS_CREDIT_UPDATE_MEAN	0.0036103269688223722	0.0014964620530190627	(Application) 	-2855.0	0.0	-628.6	-2560.0	0.0	-478.32
NAME_EDUCATION_TYPE_Secondary / secondary special	0.0034941781877852423	0.0021054010518375232	(Application) Level of highest education the client achieved	0.0	1.0	0.7	0.0	1.0	0.79
CLOSED_DAYS_CREDIT_MIN	0.0034390092349430154	0.0018810717427045604	(Application) 	-2922.0	0.0	-1424.02	-2922.0	0.0	-1120.04
PREV_HOUR_APPR_PROCESS_START_MEAN	0.0033285881386819977	0.00223722312086926	(Previous Application) MEAN, Approximately at what hour did the client apply for the loan	0.0	22.0	12.05	0.0	20.0	11.79
CNT_CHILDREN	0.0033206147408003472	0.0029040143623930426	(Application) Number of children the client has	0.0	8.0	0.41	0.0	5.0	0.52
PREV_DAYS_DECISION_MEAN	0.003297136361607402	0.0021918195396192714	(Previous Application) MEAN, Relative to current application when was the decision about previous application made	-2922.0	0.0	-870.35	-2822.0	0.0	-781.63
DAYS_REGISTRATION	0.003240144855548243	0.0012790332899661767	(Application) How many days before the application did client change his registration	-20981.0	0.0	-5025.72	-14266.0	-4.0	-4365.34
